
"Tally by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x07","0x08","0x09","0x0A","0x0B","0x0C","0x0E","0x10","0x11","0x14","0x15","0x1A","0x3D","0x41","0x4B","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x9C","0xC0","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","7","8","9","10","11","12","14","16","17","20","21","26","61","65","PUSHBYTES75","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","NUMEQUAL","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\neo-dotnetquickstart\EN-us\examples\NPC.mwherman2000.Meetup1\NPC.mwherman2000.Meetup1.Contract\Contract1.cs","0","// No source code available","100","4","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","1","52","106","31","19","17","16","14","7","2","1","1","78","32","4","14","14","182","182","16","24","185","8","58","29","11","2","4","1","133","100","19","8"
"","","Tally by Opcode>","100","4","2","2","1","1","1","2","1","2","1","1","2","1","1","1","1","1","1","52","106","31","19","17","16","14","7","2","1","1","78","32","4","14","14","182","182","16","24","185","8","58","29","11","2","4","1","133","100","19","8"
"","","Total Tally>","1496"

"Costs by Opcode"

"","","Opcode (Hex) >","0x00","0x01","0x02","0x04","0x07","0x08","0x09","0x0A","0x0B","0x0C","0x0E","0x10","0x11","0x14","0x15","0x1A","0x3D","0x41","0x4B","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x79","0x7A","0x7C","0x7E","0x82","0x9C","0xC0","0xC3","0xC4","0xC5","0xFF"
"","","Opcode >","PUSH0","PUSHBYTES1","2","4","7","8","9","10","11","12","14","16","17","20","21","26","61","65","PUSHBYTES75","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","PICK","ROLL","SWAP","CAT","SIZE","NUMEQUAL","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","_STORAGE"
"","","Cost >","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1"
"D:\repos\neo-dotnetquickstart\EN-us\examples\NPC.mwherman2000.Meetup1\NPC.mwherman2000.Meetup1.Contract\Contract1.cs","0","// No source code available","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.032","0.004","0.014","0.014","0.182","0.182","0.016","0.024","0.185","0.008","0.058","0.029","0.011","0.002","0.004","0","0.133","0.1","0.019","8"
"","","Costs by Opcode>","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.032","0.004","0.014","0.014","0.182","0.182","0.016","0.024","0.185","0.008","0.058","0.029","0.011","0.002","0.004","0","0.133","0.1","0.019","8"
"","","Total Cost>","9.017"
